,,omega,omegaProp,psi,psiAvgProp
5251f370458cd8c372bf87ba25b528204b3df288a901b14c3cdf7f19eb53a440,,101.0,0.0479582146249,887.0,0.154073302067
6d287b685bdc6860feee42ed9098a3d52e21a77fd42ec66234808416bfa4c904,,19.0,0.00902184235518,89.0,0.0821791320406
15e13e06f12d9a172caf096c97304aac19aa47959032530a33b678fcd966b882,,18.0,0.00854700854701,67.0,0.0653021442495
b5793f60fbb0285a24863984fbf9e01df26955dfc9461178364f7028d560aa65,,918.0,0.435897435897,1810.0,0.0345908343844
770722861bfb77c266445ddf42d47dd5a0be571ab865ee93e2b33108621c691a,,97.0,0.0460588793922,637.0,0.11521070718
41285ac32d16f970a97c17aeb4d83e70944fd3f2f08790dfd8beb21ed8804f33,,89.0,0.0422602089269,794.0,0.156514882712
d8122a4b612c139ee9c70527ea21ca34dbf61a540c609cbf8c7631b612d534e2,,48.0,0.022792022792,387.0,0.141447368421
09f069cb46813fa69745ebd6fd4d6db0fd415df23b89eba2567f47465d3c675b,,26.0,0.0123456790123,90.0,0.0607287449393
fb97f51ca70dc34f22fe5b9b9395d5d2f33764b2bc17b90bb52c3420bd8bb5b6,,24.0,0.011396011396,130.0,0.0950292397661
d34a577c98a63bae0e54f29c8b6b611901e8d3c62ad13b619fc09baf6c033e32,,20.0,0.00949667616334,88.0,0.0771929824561
b30dfc3bc98dd0e8d1597b15089bb180d7703dcc4fc41c2ac5d2b0112e5f82cd,,17.0,0.00807217473884,70.0,0.0722394220846
979cded1b235373c6d30bb43c068a580b5e087f8aedb183309142535093fb091,,313.0,0.148622981956,406.0,0.022756571941
d559ed90a181876d4e7e469e43fc51a73b9a78467233b717ee2637f09211d31b,,212.0,0.100664767331,1210.0,0.100132406488
4a34981c4e3f0f7e78f170c24df8e11ca76fd95df3bae72e1042d66bbb7cce98,,237.0,0.112535612536,1452.0,0.107483899622
f57f0e1757ae3e0a2da3c8e4a4cc347bab9e044274ef1714516e3bf1da2db186,,239.0,0.113485280152,667.0,0.0489613154224
d223552b69f1eb716bd080ce30576d42a47d3a62924156fcb7e10f1c43f8536a,,107.0,0.0508072174739,275.0,0.0450893589113
16604f04473b3d670ae24b60d9594929679cfe2bb8a09e8845337f76181e35d9,,64.0,0.0303893637227,265.0,0.0726425438596
258a047004441fc08fdae0f7656a5ee9f02703b102402ba3090bcc780983203d,,35.0,0.0166191832858,373.0,0.186967418546
2d2e2f50e9fd80c38735e38d1483645c0a57763d4acfdde0dff8b7b6eb108ea9,,20.0,0.00949667616334,88.0,0.0771929824561
513d7a90204c5c1117723034e6b55e93c84eb1aa81f292e5d1dc7931d226e7de,,12.0,0.00569800569801,134.0,0.195906432749
9d241d7109eb9f9d5c9a4435754096bb729993bdae89809183959df4ab728619,,389.0,0.184710351377,1994.0,0.0899291931629
42c09b4822c360dcf73b974a71aaa3fdff0ee271c7577425a5d309660dfe617d,,449.0,0.213200379867,921.0,0.0359864025319
86915ccebfd160072d9b80ddd43a53789a8f45c2abaf45d96a2e7cc5a5d67ea6,,190.0,0.0902184235518,787.0,0.0726685133887
ef3f0ef45c2faedfabbfaf2961b62e8a91170ff13e4055d4eb06b7a25010f04b,,120.0,0.0569800569801,573.0,0.0837719298246
70b7cf8f2d7804c2cdb86bed383a6a83aa99b5157704886d2bf27f62bea113b4,,39.0,0.0185185185185,103.0,0.0463337831759
de2cff7ec0fa1cae8fa548276163a72c73cf79bf2531c8e18e6edae3a6e3811b,,13.0,0.00617283950617,99.0,0.133603238866
d31357c71f9e720828296d3ca39834fba56e90199787d8b64cb26f828a85cd4a,,20.0,0.00949667616334,100.0,0.0877192982456
